Record ID,Step Name,Relative Time(h:min:s.ms),Realtime,Auxiliary channel TU1 T(°C),Gap of Temperature
226,Rest,0:03:35.000,2019-11-15 19:32:24,37.2,0.0
227,Rest,0:03:36.000,2019-11-15 19:32:25,37.2,0.0
228,Rest,0:03:37.000,2019-11-15 19:32:26,37.2,0.0
229,Rest,0:03:38.000,2019-11-15 19:32:27,37.2,0.0
230,Rest,0:03:39.000,2019-11-15 19:32:28,37.1,0.0
231,Rest,0:03:40.000,2019-11-15 19:32:29,37.2,0.0
232,Rest,0:03:41.000,2019-11-15 19:32:30,37.2,0.0
233,Rest,0:03:42.000,2019-11-15 19:32:31,37.1,0.0
234,Rest,0:03:43.000,2019-11-15 19:32:32,37.1,0.0
235,Rest,0:03:44.000,2019-11-15 19:32:33,37.1,0.0
236,Rest,0:03:45.000,2019-11-15 19:32:34,37.1,0.0
237,Rest,0:03:46.000,2019-11-15 19:32:35,37.1,0.0
238,Rest,0:03:47.000,2019-11-15 19:32:36,37.1,0.0
239,Rest,0:03:48.000,2019-11-15 19:32:37,37.1,0.0
240,Rest,0:03:49.000,2019-11-15 19:32:38,37.1,0.0
241,Rest,0:03:50.000,2019-11-15 19:32:39,37.1,0.0
242,Rest,0:03:51.000,2019-11-15 19:32:40,37.1,0.0
243,Rest,0:03:52.000,2019-11-15 19:32:41,37.0,0.0
244,Rest,0:03:53.000,2019-11-15 19:32:42,37.1,0.0
245,Rest,0:03:54.000,2019-11-15 19:32:43,37.0,0.0
246,Rest,0:03:55.000,2019-11-15 19:32:44,37.0,0.0
247,Rest,0:03:56.000,2019-11-15 19:32:45,37.0,0.0
248,Rest,0:03:57.000,2019-11-15 19:32:46,37.0,0.0
249,Rest,0:03:58.000,2019-11-15 19:32:47,37.0,0.0
250,Rest,0:03:59.000,2019-11-15 19:32:48,37.0,0.0
251,Rest,0:04:00.000,2019-11-15 19:32:49,37.0,0.0
252,Rest,0:04:01.000,2019-11-15 19:32:50,37.0,0.0
253,Rest,0:04:02.000,2019-11-15 19:32:51,36.9,0.0
254,Rest,0:04:03.000,2019-11-15 19:32:52,37.0,0.0
255,Rest,0:04:04.000,2019-11-15 19:32:53,36.9,0.0
256,Rest,0:04:05.000,2019-11-15 19:32:54,36.9,0.0
257,Rest,0:04:06.000,2019-11-15 19:32:55,36.9,0.0
258,Rest,0:04:07.000,2019-11-15 19:32:56,36.9,0.0
259,Rest,0:04:08.000,2019-11-15 19:32:57,36.9,0.0
260,Rest,0:04:09.000,2019-11-15 19:32:58,36.9,0.0
261,Rest,0:04:10.000,2019-11-15 19:32:59,36.9,0.0
262,Rest,0:04:11.000,2019-11-15 19:33:00,36.8,0.0
263,Rest,0:04:12.000,2019-11-15 19:33:01,36.8,0.0
264,Rest,0:04:13.000,2019-11-15 19:33:02,36.8,0.0
265,Rest,0:04:14.000,2019-11-15 19:33:03,36.8,0.0
266,Rest,0:04:15.000,2019-11-15 19:33:04,36.8,0.0
267,Rest,0:04:16.000,2019-11-15 19:33:05,36.8,0.0
268,Rest,0:04:17.000,2019-11-15 19:33:06,36.8,0.0
269,Rest,0:04:18.000,2019-11-15 19:33:07,36.8,0.0
270,Rest,0:04:19.000,2019-11-15 19:33:08,36.7,0.0
271,Rest,0:04:20.000,2019-11-15 19:33:09,36.7,0.0
272,Rest,0:04:21.000,2019-11-15 19:33:10,36.7,0.0
273,Rest,0:04:22.000,2019-11-15 19:33:11,36.7,0.0
274,Rest,0:04:23.000,2019-11-15 19:33:12,36.7,0.0
275,Rest,0:04:24.000,2019-11-15 19:33:13,36.7,0.0
276,Rest,0:04:25.000,2019-11-15 19:33:14,36.6,0.0
277,Rest,0:04:26.000,2019-11-15 19:33:15,36.7,0.0
278,Rest,0:04:27.000,2019-11-15 19:33:16,36.6,0.0
279,Rest,0:04:28.000,2019-11-15 19:33:17,36.6,0.0
280,Rest,0:04:29.000,2019-11-15 19:33:18,36.6,0.0
281,Rest,0:04:30.000,2019-11-15 19:33:19,36.6,0.0
282,Rest,0:04:31.000,2019-11-15 19:33:20,36.6,0.0
